Region and State,Total,Inter-governmental,Direct: Total,Elementary and Secondary Education,Higher Education,Public Welfare,Health and hospitals,Highways,Police,All Other,Exhibit: Personal Income,year
District of Columbia,11556.724123871001,0.0,11556.724123871001,2367.1909792121,158.70699864855,3192.1520000309997,681.267999326,637.6709846295,559.7649911407001,3959.9700179426,43697.3,2013
Maryland,52449.65414852001,0.0,52449.65414852001,12108.041002404,5599.780970559999,10288.4539288,2205.9120046636003,2845.3129897576005,2319.682002474,17082.46994146,311524.0,2013
New Jersey,85033.62822225,18.99999776072,85014.628027494,24906.302858357,5940.339972162599,13701.2640281944,5677.8531188384,5057.0958746602,3442.60199812686,26289.1698324128,492488.2,2013
New York,244384.74799280197,0.0,244384.74799280197,59038.75266144859,13511.5285126692,57795.864121212,20867.266503078798,9854.58602775582,9309.457035835838,74007.2919624528,1062135.4,2013
Pennsylvania,109230.334720232,129.16201198988998,109101.17324255599,25982.0839037584,9593.303117078998,25021.892753005504,7946.5227734508,8882.3812696531,3312.72302376631,28362.265273846897,593682.1,2013
Illinois,108023.785143142,8.81300815008,108014.973842372,25008.247870321793,9178.4448063884,20192.054286414197,4504.2229860036605,7286.3981556071985,4846.85300800416,36998.7501075846,609778.6,2013
Indiana,46499.146897965,24.811995062999998,46474.334902901996,9600.023115579299,5884.9189860702,10858.9459552638,4713.3309145370995,2539.06400461863,1170.7559890702498,11707.296094784098,261702.3,2013
Michigan,74742.048709048,13.61299500072,74728.43882330401,16445.954116314402,10481.0501525072,13261.671818814399,8588.57389308,3399.67499412064,2537.05599454664,20014.4559253944,393576.8,2013
Ohio,92235.962688399,11.584987581310001,92224.378323633,21447.280950554898,9753.2920663983,21165.161904140703,7648.5068898013,5103.8799595083,3238.84600341196,23867.4099749111,479088.7,2013
Wisconsin,47205.623030129995,0.0,47205.623030129995,10240.793088993,5842.762043022,9641.236101091199,3568.180945869,4205.7289746324,1806.0299991367199,11900.891084274,247847.4,2013
Iowa,27295.781281585998,0.0,27295.781281585998,5961.4899427056,3552.5030463873995,4846.835948724799,3545.9050349838,2205.4299838639995,691.1599946363399,6492.456966438,134757.8,2013
Kansas,22589.293837589,1.7509967110900002,22587.542720295998,5146.0819439042,3053.622987835,3159.9799838922004,2931.8999710267,1721.6300587486999,796.1940047822299,5778.1339978728,133979.9,2013
Minnesota,47696.011218904,0.0,47696.011218904,10346.466913390399,4648.2409366388,11820.322069873399,3068.8779999037993,3833.0789003091995,1655.8119924462396,12323.211055476799,259781.8,2013
Missouri,43404.176080000005,68.0360118,43336.140435999994,9626.9619744,3842.75601,8350.2681004,5292.3629624,2589.4500476,1633.89500592,12000.445991999999,245200.0,2013
Nebraska,15122.67571983,43.056995774609994,15079.618750275,3811.5160389263997,2014.8719752626,2489.4229690188,1269.2549622407998,1315.3540183467,424.49699789750997,3754.7019895992,87398.7,2013
North Dakota,7435.229945715,0.0,7435.229945715,1439.9359999244998,980.9240181229999,1046.4750181069999,214.78700196949998,1335.1750150935,156.86300098425,2261.0699913470003,39933.5,2013
South Dakota,6290.487926700999,0.0,6290.487926700999,1290.1620013629001,652.4499966433,1014.7439860808,274.56400185787004,942.409992466,175.09099878919,1941.0670032132002,38365.9,2013
Alabama,39483.220869528,0.0,39483.220869528,7448.7680637051,4977.347049884699,7730.356009736699,6040.6279215639,2342.5100348888996,1163.32099783716,9780.2910021339,175185.3,2013
Arkansas,21013.590344898,0.11199812130000002,21013.477642386,4910.061032955,2607.1590221862,5109.5339675184005,1280.9620133712,1541.1279598416002,640.32599738448,4924.3080392532,108367.8,2013
Florida,133467.336683387,0.0,133467.336683387,24654.894309861298,9531.771225392,23764.1959235634,12615.4797578627,8186.1501681619,7157.530025812189,47557.311819938,802975.7,2013
Georgia,64836.76939098601,0.0,64836.76939098601,17044.985855041603,6297.9520058736,10907.061882518,6647.8028971493995,3271.1419882596,2359.0860042100403,18308.738833374202,377202.2,2013
Kentucky,32462.013420927997,0.0,32462.013420927997,6871.343059503999,3782.6909948407997,7027.857057283999,2619.0769525647997,2520.4499269487997,787.93599203984,8852.6600428,159224.8,2013
Louisiana,40692.96560297,0.0,40692.96560297,7543.5120053899,3039.2390945051993,7312.2219494445,5053.7640723805,2499.0709790598994,1492.46900260941,13752.688059136799,191497.3,2013
